Scrollable Height,	 UIM/VIM Name,		 Type,	 UIM References,	 Dupliacte,	 Number of Scrollable Lists,	 Expandable List Ref,	 CADG Page,	
100,	 ProviderManagement_searchConfirmProviderNotRegistered.uim,		 Modal,	 N/A,	 No,	2,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_searchConfirmProviderNotRegistered.html,	
100,	 SocialEnterpriseFolder_searchCasePopup.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/SocialEnterpriseFolder_searchCasePopup.html,	
100,	 ProviderManagement_viewActualContractPerformanceMeasure.uim,		 N/A,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_viewActualContractPerformanceMeasure.html,	
100,	 Evidence_rejectApprovalRequests.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/Evidence_rejectApprovalRequests.html,	
100,	 ProviderManagement_addTemplateToServiceOffering.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_addTemplateToServiceOffering.html,	
100,	 MeetingMinutes_createActionView.vim,		 Modal,	 MeetingActions_modify.uim,	 Yes,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/MeetingActions_modify.html,	
100,	 ProgramAuthorisation_createNewAndSelectClients.uim,		 N/A,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProgramAuthorisation_createNewAndSelectClients.html,	
100,	 ProviderManagement_searchTrainingByTrainingTypeForPerson.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_searchTrainingByTrainingTypeForPerson.html,	
100,	 Authorisation_useExistingExactClientsMatch_selectICView.vim,		 N/A,	 ProgramAuthorisation_useExistingExactClientsMatch_selectIC.uim,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProgramAuthorisation_useExistingExactClientsMatch_selectIC.html,	
100,	 AddExpectedOutcomeWizard_details.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/AddExpectedOutcomeWizard_details.html,	
110,	 CaseAudit_modifyAuditPlanFocusAreasView.vim,		 Modal,	 CaseAudit_addAuditPlanFocusAreas.uim,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/CaseAudit_addAuditPlanFocusAreas.html,	
120,	 RegisterExternalParty_duplicateCheckWizard.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/RegisterExternalParty_duplicateCheckWizard.html,	
120,	 ProductDelivery_getParticipantAndLiabilityForVariableWizardContent.vim,		 Modal,	 ProductDelivery_getParticipantAndLiabilityForVariableWizard.uim,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProductDelivery_getParticipantAndLiabilityForVariableWizard.html,	
120,	 MDTCollaboration_listSharing.vim,		 N/A,	 N/A,	 No,	1,	false,	,	
120,	 RegisterUtility_duplicateCheckWizard.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/RegisterUtility_duplicateCheckWizard.html,	
120,	 ProspectEmployer_duplicateCheckWizard.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProspectEmployer_duplicateCheckWizard.html,	
